active_member,employment_profile,gender,age,income,credit_history,existing_loans,loan_amount,loan_tenure_months,LTV_ratio,profile_score,Credit_Score
Yes,Salaried,Female,43,90000,327,8,106491,331,56.697980262353155,98,782
No,Freelancer,Male,67,65000,462,4,150000,75,87.33408469818315,44,528
No,Salaried,Female,64,127000,473,6,150000,318,95,100,649
No,Self-Employed,Female,21,46000,544,2,85243,98,84.76704865369365,29,430
Yes,Self-Employed,Male,47,28000,226,8,52918,130,82.08870757,100,756
No,Salaried,Other,68,70000,194,4,93269,103,74.12142212136447,91,553
Yes,Salaried,Female,54,134000,303,7,133699,60,45.79670612029757,100,713
No,Freelancer,Female,28,50000,60,6,150000,193,86.83167405881426,68,645
No,Salaried,Female,55,92000,227,6,115015,162,95,100,648
Yes,Salaried,Female,65,192000,406,10,150000,96,75.26939702110516,100,850
No,Salaried,Male,18,24000,462,3,45280,106,84.00648273471197,85,519
No,Self-Employed,Male,23,63000,29,2,142381,84,74.99959788285017,42,419
Yes,Salaried,Other,20,58000,250,7,82463,298,83.24323551287802,90,722
Yes,Salaried,Male,36,29000,569,8,76523,246,53.63669448270598,100,747
Yes,Salaried,Female,28,50000,244,7,52359,235,82.03087371968846,95,689
No,Self-Employed,Female,59,74000,213,2,150000,13,88.37227015,56,411
Yes,Salaried,Female,54,51000,86,10,150000,239,57.42916536,97,850
No,Freelancer,Female,30,51000,146,0,150000,79,69.52852836048535,37,322
Yes,Salaried,Female,61,128000,182,10,88441,334,47.649641353233065,100,850
Yes,Self-Employed,Female,27,38000,191,9,93542,288,72.75349192,99,812
Yes,Self-Employed,Female,24,37000,384,7,99217,142,59.63281175131125,94,700
No,Salaried,Female,50,90000,173,3,88017,33,52.221766137614296,94,493
No,Self-Employed,Female,39,88000,110,1,109483,20,92.61912181475574,29,403
No,Self-Employed,Male,38,72000,434,1,44649,12,95,29,375
No,Unemployed,Female,20,48000,256,3,150000,109,60.770498762701784,87,484
No,Self-Employed,Male,18,48000,403,3,57712,23,90.69636361855825,49,495
No,Self-Employed,Female,24,47000,305,1,131907,17,58.52150987539488,47,384
Yes,Unemployed,Female,45,79000,102,8,62855,306,42.797932004520334,90,759
No,Freelancer,Other,23,56000,241,5,98495,113,90.28484400928497,91,622
No,Salaried,Female,33,46000,207,0,148317,58,73.67100700107206,70,329
Yes,Salaried,Male,68,116000,547,9,130072,180,65.57640230645637,100,832
No,Self-Employed,Male,53,118000,601,6,150000,144,95,92,641
No,Salaried,Female,34,33000,601,5,141450,71,82.93151586649549,79,599
Yes,Salaried,Female,39,112000,98,7,150000,186,63.390095655836106,97,695
No,Student,Male,37,94000,159,3,104366,118,52.90015421563489,82,486
No,Self-Employed,Female,37,67000,536,2,122025,36,95,54,425
Yes,Salaried,Male,41,103000,222,9,102667,264,79.34421162494289,95,818
No,Salaried,Female,58,162000,552,1,150000,77,95,58,383
No,Salaried,Female,43,106000,59,5,122644,165,91.02226882259151,95,608
Yes,Self-Employed,Male,33,50000,518,8,82442,126,65.52469002521534,90,751
Yes,Self-Employed,Male,23,31000,494,7,36340,134,81.71190066188703,100,701
No,Self-Employed,Female,31,26000,15,0,91974,74,57.168524076108696,73,303
No,Self-Employed,Other,30,47000,347,4,104534,73,55.95623023304165,100,534
No,Self-Employed,Male,59,91000,228,3,105628,80,85.4959129,70,502
No,Self-Employed,Male,25,66000,547,3,99856,26,62.625810189853624,83,511
No,Salaried,Female,21,24000,272,3,85518,44,95,68,498
No,Student,Male,50,82000,114,0,150000,78,83.91207159225064,32,307
No,Self-Employed,Male,54,143000,601,1,150000,101,59.838048572586416,77,408
Yes,Salaried,Female,51,135000,446,7,88353,308,79.12194577468344,98,694
No,Freelancer,Male,40,68000,382,1,100969,35,95,31,401
No,Salaried,Female,48,123000,7,5,95335,114,80.10544568086551,92,584
No,Salaried,Male,42,89000,398,4,125441,49,68.26761967847608,98,525
Yes,Salaried,Male,42,77000,55,9,93455,276,51.02442365778552,100,809
Yes,Self-Employed,Male,45,128000,267,7,55651,170,76.23831897562022,96,704
Yes,Salaried,Female,63,99000,517,8,150000,167,80.13567419323121,91,790
Yes,Salaried,Female,64,161000,530,8,142595,355,72.72290493600713,100,750
Yes,Self-Employed,Female,49,122000,242,10,150000,166,40.92960355423247,92,850
No,Self-Employed,Female,55,128000,94,5,92232,68,88.06418657474637,90,578
No,Salaried,Female,58,49000,316,6,116602,306,53.19184047049835,100,640
No,Freelancer,Male,28,51000,256,1,119303,43,75.91649469,47,355
Yes,Salaried,Male,53,105000,577,8,91948,62,43.33767607692877,96,786
No,Freelancer,Male,20,54000,176,5,150000,245,78.29598189476437,69,605
Yes,Self-Employed,Female,37,19000,374,7,92249,282,71.81369833019338,94,708
No,Unemployed,Female,27,24000,198,5,100325,99,95,63,599
Yes,Student,Male,31,92000,178,9,51775,89,49.23103188601108,90,815
No,Unemployed,Male,43,30000,147,3,58908,115,63.73639268855683,68,480
Yes,Self-Employed,Other,46,134000,403,10,150000,327,57.73598948870668,100,850
Yes,Salaried,Female,64,178000,261,6,82525,137,81.88523194554755,82,651
No,Self-Employed,Female,69,51000,196,0,59282,43,95,0,311
No,Self-Employed,Male,34,98000,389,3,130174,70,74.41281477034507,65,479
Yes,Self-Employed,Female,42,108000,568,8,150000,115,52.36003952023334,97,794
Yes,Unemployed,Female,29,78000,304,6,59745,110,89.02624176879266,63,653
Yes,Self-Employed,Female,52,98000,399,7,150000,133,40,100,725
No,Self-Employed,Female,54,97000,497,0,150000,45,62.19658567625834,33,304
Yes,Student,Female,24,43000,421,8,150000,74,47.97483447931472,93,762
No,Unemployed,Female,27,19000,214,2,91773,81,95,10,430
No,Self-Employed,Other,21,29000,469,1,53379,18,66.39049084634905,66,361
No,Salaried,Female,58,121000,245,1,150000,26,58.825022590215404,62,384
No,Unemployed,Male,62,112000,276,4,83106,80,95,31,538
No,Student,Female,28,28000,74,0,76802,64,95,0,300
No,Self-Employed,Male,55,117000,450,2,114277,52,58.940345997431095,60,461
Yes,Self-Employed,Female,60,65000,53,7,66156,87,51.69117654098228,100,733
No,Salaried,Female,41,46000,135,1,49211,38,61.650788436098594,81,356
Yes,Self-Employed,Female,62,110000,279,9,73628,249,40,90,797
Yes,Freelancer,Male,22,22000,369,7,51543,128,47.355157914506805,96,729
No,Student,Female,23,55000,581,2,142707,71,78.63890343638931,35,457
No,Salaried,Male,36,64000,562,1,67709,53,68.01577982791326,60,370
No,Self-Employed,Male,51,71000,446,2,98822,12,95,29,463
Yes,Self-Employed,Female,50,109000,228,7,150000,130,69.26001243938319,100,734
No,Freelancer,Male,58,71000,605,2,150000,79,71.71400685,64,464
No,Self-Employed,Other,45,83000,534,5,141020,51,95,87,596
No,Student,Male,64,67000,226,4,150000,42,84.75337646378719,46,573
No,Salaried,Male,46,53000,394,5,134392,163,95,85,629
No,Self-Employed,Male,46,62000,423,5,100580,303,95,56,624
Yes,Salaried,Female,43,121000,371,9,150000,71,51.40249249964731,93,840
Yes,Freelancer,Male,44,64000,317,7,148798,345,92.56642089993358,100,692
Yes,Student,Female,64,145000,217,8,137969,298,45.680416589121535,98,790
No,Unemployed,Male,69,145000,287,2,103811,19,95,35,435
Yes,Salaried,Female,28,50000,368,8,34683,132,56.86298295800832,100,770
No,Self-Employed,Female,52,44000,422,5,128373,92,58.91420000104164,93,594
No,Unemployed,Male,26,40000,223,0,29600,94,79.8045718,37,300
Yes,Student,Male,63,104000,445,8,150000,94,45.92463551330261,96,781
No,Self-Employed,Female,46,88000,45,2,98214,52,95,31,463
Yes,Self-Employed,Male,58,171000,368,9,139825,154,83.12717565677605,94,829
No,Salaried,Male,66,171000,187,4,150000,66,51.68871972,100,573
No,Self-Employed,Male,18,16000,104,0,72857,113,92.82753090435327,34,300
No,Salaried,Male,55,77000,82,6,78863,191,89.53494364656916,78,642
No,Self-Employed,Female,26,22000,273,2,28043,21,71.45276687,58,423
Yes,Self-Employed,Female,69,177000,410,6,67022,162,95,67,677
No,Self-Employed,Female,52,147000,60,4,61209,28,58.65361796,98,563
No,Salaried,Male,65,50000,563,5,150000,296,95,78,626
Yes,Self-Employed,Female,35,25000,17,7,70290,113,40,97,716
No,Self-Employed,Male,23,42000,441,4,150000,82,95,67,566
No,Unemployed,Other,59,162000,385,4,150000,92,95,54,538
Yes,Salaried,Female,25,41000,260,7,49913,248,55.202324263721046,93,697
Yes,Salaried,Female,49,68000,504,6,73527,74,52.75544135081586,96,672
No,Self-Employed,Male,60,160000,94,2,150000,77,95,24,452
No,Freelancer,Male,55,99000,171,4,150000,90,95,71,531
Yes,Self-Employed,Male,41,114000,304,9,150000,238,48.26616453538075,100,845
No,Self-Employed,Male,26,57000,22,5,150000,98,85.22279115347045,82,588
No,Salaried,Male,32,19000,231,6,53553,239,55.33908578359176,100,648
No,Salaried,Female,23,39000,390,1,150000,23,70.85814977997953,78,394
No,Salaried,Male,48,26000,223,3,100545,81,76.08960872450044,62,493
No,Salaried,Male,46,27000,22,1,71703,48,68.05904056785468,52,376
No,Salaried,Female,45,107000,523,2,108969,50,71.72442236155354,75,445
Yes,Salaried,Other,50,136000,509,7,150000,242,40,100,719
No,Salaried,Male,49,31000,495,5,148100,100,95,83,590
No,Unemployed,Female,50,61000,384,1,52030,85,77.54121395939629,23,405
No,Self-Employed,Male,56,106000,450,4,117636,72,61.98977397480221,96,521
No,Self-Employed,Female,45,44000,606,5,150000,104,83.30711233957086,88,600
No,Salaried,Female,63,167000,573,3,150000,35,74.79572540681701,88,513
Yes,Self-Employed,Male,30,86000,102,10,56228,210,42.326337494258475,90,850
Yes,Student,Male,30,21000,385,7,63985,135,59.84363191490826,94,717
No,Self-Employed,Male,61,134000,305,1,107445,112,57.37053924014343,79,398
No,Freelancer,Female,19,56000,324,4,130858,80,64.49077617233263,97,524
No,Salaried,Male,34,20000,454,3,20582,101,73.31552682,88,478
Yes,Unemployed,Male,34,93000,428,6,94401,197,51.596012674791226,92,657
Yes,Salaried,Female,67,175000,348,6,94532,301,61.844796882480935,100,651
No,Salaried,Male,37,68000,226,0,66873,100,67.03320326,63,305
Yes,Salaried,Female,39,101000,350,9,148529,305,53.38108949522693,100,814
Yes,Freelancer,Male,65,60000,8,8,119247,256,41.50846041172215,100,783
No,Salaried,Female,55,161000,163,4,50470,62,95,49,543
No,Salaried,Female,27,34000,123,1,103844,53,89.74871358824457,35,368
Yes,Salaried,Male,64,111000,588,7,150000,338,72.70817723,98,701
Yes,Salaried,Male,67,145000,213,10,149466,301,40,100,850
Yes,Self-Employed,Male,61,147000,198,6,96447,298,55.403478960581594,95,678
Yes,Salaried,Male,59,125000,168,7,125838,62,66.41368226707907,100,711
Yes,Unemployed,Male,30,26000,365,6,99926,340,55.37636657185335,95,679
No,Salaried,Female,29,32000,368,2,150000,60,66.98941046,61,421
No,Salaried,Female,54,133000,169,4,147644,47,67.03210706108084,85,552
No,Freelancer,Male,52,42000,453,0,150000,19,53.15023019625278,49,300
Yes,Salaried,Male,69,105000,48,10,150000,338,67.72864052504653,92,850
No,Salaried,Female,32,60000,61,3,150000,103,68.80338747285982,97,468
Yes,Salaried,Female,49,139000,596,6,93303,122,61.541467521510306,100,678
No,Self-Employed,Female,29,85000,422,1,71711,39,62.43602797775038,66,390
No,Self-Employed,Male,61,158000,278,3,105976,17,50.949987208391185,100,501
No,Salaried,Male,60,118000,455,6,81848,234,95,88,635
No,Salaried,Female,46,61000,53,5,116064,208,90.03941643407009,79,602
Yes,Salaried,Female,25,25000,375,7,24648,176,40,92,706
No,Self-Employed,Female,52,106000,287,5,150000,107,79.80137318294092,100,594
No,Salaried,Male,27,37000,196,0,108278,117,75.07772577068039,61,300
No,Self-Employed,Male,56,53000,589,1,150000,52,73.98803779005497,73,398
No,Unemployed,Male,39,91000,131,1,150000,57,95,20,406
No,Salaried,Female,68,107000,89,5,69238,70,71.62726826585597,100,584
Yes,Salaried,Male,29,60000,559,6,128061,126,95,100,681
No,Salaried,Male,34,73000,299,2,52669,25,79.17880581337741,82,443
Yes,Salaried,Female,49,37000,295,10,97688,335,59.15225524717789,95,850
No,Salaried,Male,22,22000,292,6,71264,299,50.20167287693298,92,647
Yes,Salaried,Male,26,58000,351,10,96368,334,40,100,850
No,Unemployed,Female,51,82000,79,3,150000,113,56.00637463130464,71,485
Yes,Salaried,Female,68,180000,168,7,101010,274,81.39030362,100,729
No,Self-Employed,Female,39,30000,393,1,136156,34,57.887348142232405,49,389
Yes,Freelancer,Female,18,25000,381,6,70189,221,70.55092616487718,97,681
Yes,Salaried,Female,33,75000,50,7,68817,262,62.00143864943905,100,733
No,Salaried,Male,21,49000,21,1,134878,28,65.49521336816994,78,386
No,Freelancer,Male,29,36000,449,5,120926,206,76.10335948896687,77,627
Yes,Self-Employed,Female,45,56000,184,8,118103,312,47.59160199532194,100,779
Yes,Salaried,Male,19,49000,66,6,141610,351,56.13931430910416,100,668
No,Salaried,Female,70,126000,508,2,150000,45,95,66,432
No,Self-Employed,Female,24,14000,422,0,43034,54,95,17,353
No,Unemployed,Male,24,59000,227,2,91586,55,65.77598883126146,54,429
No,Salaried,Female,51,90000,369,1,150000,49,88.63535449155921,41,364
No,Self-Employed,Female,20,15000,519,2,37043,66,60.590442995224095,75,440
Yes,Salaried,Male,53,104000,507,7,70568,98,40,100,716
Yes,Salaried,Female,62,160000,25,8,150000,187,40,100,768
Yes,Salaried,Female,55,112000,390,6,101635,180,95,77,659
Yes,Self-Employed,Male,63,36000,231,7,103642,129,62.548332519453226,100,705
Yes,Freelancer,Male,34,100000,511,10,74914,137,40,93,850
No,Student,Male,42,29000,384,1,118812,110,66.86070771016512,29,374
No,Salaried,Male,36,78000,470,0,132830,70,88.58699508335685,50,305
No,Self-Employed,Other,40,60000,415,1,76778,97,95,46,381
No,Salaried,Male,54,151000,163,5,150000,171,80.49514110503893,75,604
No,Salaried,Female,34,32000,325,4,145905,58,62.24176465402839,95,557
No,Self-Employed,Female,39,82000,38,3,150000,100,54.84913090796493,98,508
Yes,Student,Male,31,36000,448,8,76425,201,66.59813860189608,100,785
No,Salaried,Male,53,88000,340,0,102545,52,95,35,319
No,Salaried,Female,69,149000,405,5,85462,99,57.05364393960757,99,590
No,Self-Employed,Female,31,85000,151,1,110581,46,61.49391742088206,49,393
No,Salaried,Male,58,88000,529,1,87434,43,95,48,398
No,Self-Employed,Male,44,23000,558,3,58061,63,59.35367646594332,75,469
No,Unemployed,Female,66,88000,307,2,126893,35,95,46,451
Yes,Salaried,Male,57,90000,371,6,149611,215,85.81293065732072,99,652
No,Self-Employed,Female,27,25000,338,6,104326,358,65.12758660569392,90,639
No,Salaried,Male,56,48000,80,2,130612,34,56.39917087409846,97,464
No,Salaried,Male,19,16000,496,2,59253,97,95,44,410
No,Self-Employed,Male,66,131000,498,5,68624,103,95,78,581
No,Salaried,Female,58,153000,190,4,121487,46,95,80,544
No,Salaried,Male,27,57000,431,5,147593,91,74.06338322894327,91,581
Yes,Salaried,Female,21,16000,400,6,42356,176,85.45406475924247,97,655
Yes,Self-Employed,Female,44,79000,446,8,150000,98,72.06356070837401,92,794
No,Self-Employed,Male,67,148000,64,4,129341,14,70.65773552089914,100,567
No,Salaried,Female,34,87000,125,1,61743,114,65.08593901421078,72,369
No,Self-Employed,Male,52,74000,132,5,139965,34,93.14349200573888,65,591
No,Self-Employed,Male,36,59000,552,0,150000,95,95,16,344
Yes,Self-Employed,Male,62,153000,203,8,75776,167,56.94100021084597,92,768
Yes,Salaried,Female,62,157000,243,7,145361,258,40,93,705
No,Salaried,Male,62,71000,312,5,150000,20,85.70028440085903,96,576
No,Student,Male,28,76000,275,4,68433,88,84.26196084584282,43,526
No,Salaried,Female,19,40000,558,2,103544,79,88.41844992864786,68,453
No,Salaried,Male,50,46000,72,0,150000,24,93.19840308,8,300
No,Salaried,Male,45,49000,532,1,150000,32,70.86984607699485,74,373
No,Freelancer,Female,44,127000,298,2,86512,86,89.12727168609709,62,457
Yes,Salaried,Female,49,105000,500,7,84314,345,44.64454572155095,92,737
Yes,Salaried,Female,65,143000,411,10,108043,275,40,95,850
No,Freelancer,Male,46,136000,265,5,150000,328,77.65385263,86,627
No,Salaried,Male,57,70000,156,0,52123,26,60.67032391239117,69,324
No,Salaried,Female,19,23000,333,0,115419,32,51.310239899917896,86,300
Yes,Salaried,Female,50,113000,374,7,150000,213,85.0007958,86,685
No,Unemployed,Male,51,48000,258,3,48189,19,79.56706707757931,52,495
Yes,Student,Male,56,119000,390,7,100811,309,40,100,737
No,Unemployed,Female,23,49000,465,2,150000,79,50.816052241532304,79,432
Yes,Freelancer,Other,65,80000,283,7,55584,253,78.5900932,95,709
No,Freelancer,Male,64,49000,84,2,95699,15,56.70757302524549,60,441
Yes,Salaried,Male,43,102000,285,7,138996,298,54.74760453384743,99,695
Yes,Self-Employed,Male,33,68000,126,6,134318,179,71.59421103,85,665
Yes,Freelancer,Female,59,41000,543,6,47821,177,94.39485024368528,85,660
No,Self-Employed,Male,31,76000,485,1,131559,42,57.54866328501098,82,391
No,Salaried,Female,49,145000,608,4,150000,16,86.05337529703931,96,555
Yes,Salaried,Female,19,45000,108,7,85529,204,80.13642539931166,100,739
No,Self-Employed,Female,44,67000,346,2,82961,62,93.45462688839027,30,452
Yes,Salaried,Female,25,62000,119,8,114100,312,71.62351644818295,100,743
No,Self-Employed,Female,59,66000,440,0,93719,47,95,12,300
Yes,Self-Employed,Female,24,32000,610,6,16771,294,74.97890465883123,97,663
No,Unemployed,Male,24,21000,394,0,100436,53,66.42006271086233,37,341
Yes,Self-Employed,Female,67,67000,588,7,65393,155,40,100,731
No,Salaried,Male,62,126000,92,2,150000,69,82.06691747998434,74,451
No,Self-Employed,Female,49,95000,162,1,127360,108,95,33,360
No,Unemployed,Male,29,57000,49,3,40526,67,61.61037358012695,55,491
No,Self-Employed,Male,54,101000,515,1,150000,86,95,22,373
Yes,Salaried,Female,51,114000,290,10,142360,295,56.23160228620557,100,850
No,Unemployed,Male,42,32000,369,0,78939,40,53.27226669906711,52,338
No,Self-Employed,Female,20,57000,97,0,150000,106,70.35132639992341,31,318
No,Self-Employed,Male,33,61000,609,1,114145,73,65.53614324949297,65,386
No,Salaried,Male,61,172000,468,3,150000,33,95,46,503
No,Salaried,Male,69,35000,364,4,45793,28,55.94890642784093,100,528
No,Salaried,Male,42,97000,567,3,67191,70,84.52555315075665,59,515
Yes,Self-Employed,Male,53,107000,521,9,150000,168,76.20904571012639,100,836
Yes,Self-Employed,Male,19,43000,85,7,150000,264,69.94768526705639,98,698
No,Self-Employed,Male,22,46000,171,0,150000,65,67.77897196888252,50,300
No,Salaried,Female,44,84000,113,5,73300,65,95,68,600
No,Salaried,Female,63,64000,152,4,63181,28,76.51377285701506,82,522
No,Self-Employed,Female,48,81000,59,4,135949,90,63.97331397553428,94,533
No,Salaried,Female,53,29000,187,0,61018,21,82.68854234,32,329
Yes,Self-Employed,Male,50,75000,515,7,67902,191,80.09249940356835,100,692
No,Unemployed,Male,26,49000,104,3,150000,104,57.46705069877781,80,518
Yes,Self-Employed,Female,52,125000,139,8,101504,65,78.46329584609931,100,767
No,Salaried,Male,68,51000,394,3,81035,51,94.28481127547346,47,473
No,Salaried,Female,51,74000,261,4,93772,82,81.42636660455533,98,557
No,Self-Employed,Male,49,132000,260,3,119685,32,95,43,495
No,Salaried,Female,57,59000,84,4,106341,56,95,50,540
No,Salaried,Male,50,124000,538,3,55973,60,69.68647715863573,100,506
Yes,Salaried,Female,40,83000,446,6,150000,265,68.09858018,97,662
Yes,Salaried,Male,50,145000,524,10,58056,125,51.52764787290615,92,850
No,Unemployed,Female,22,25000,57,6,33123,263,80.78097325,63,644
Yes,Salaried,Female,46,95000,564,8,78045,89,55.59146842,91,754
No,Self-Employed,Male,28,68000,204,6,150000,316,73.08364329763742,89,648
No,Self-Employed,Male,65,70000,456,2,150000,49,85.49994728257029,69,462
No,Student,Female,23,60000,180,2,150000,101,84.20055003,54,445
No,Freelancer,Other,69,72000,469,6,122334,108,95,73,635
No,Self-Employed,Female,33,44000,94,4,150000,96,54.59945570787411,94,559
Yes,Freelancer,Male,69,191000,132,10,150000,210,45.53356523080172,90,850
Yes,Self-Employed,Female,56,72000,583,8,68278,336,80.04562774960169,100,766
Yes,Self-Employed,Female,59,96000,37,7,150000,81,53.74391997915071,100,703
No,Salaried,Female,39,103000,548,2,149243,82,52.71176965583395,94,462
No,Self-Employed,Female,21,38000,485,0,22433,101,85.43261188373458,31,319
No,Salaried,Other,36,25000,32,2,92784,26,77.8622404,58,410
Yes,Salaried,Female,19,42000,295,7,101291,91,84.5437197,98,700
Yes,Unemployed,Female,68,44000,175,6,70017,272,95,64,651
No,Salaried,Male,30,76000,566,2,139614,17,90.61296107997683,51,438
No,Salaried,Male,42,73000,82,1,150000,43,90.63624750665977,52,402
No,Unemployed,Male,68,63000,170,4,75839,72,95,46,574
Yes,Salaried,Male,40,41000,470,6,115050,178,84.95055062464041,100,658
Yes,Self-Employed,Male,62,70000,36,6,62734,205,73.91484145751353,100,652
No,Salaried,Female,41,97000,459,2,101947,117,95,54,424
Yes,Self-Employed,Female,51,68000,518,7,150000,344,77.15376076960223,100,734
No,Salaried,Female,22,25000,185,3,21566,77,82.02415811950965,65,473
No,Student,Male,22,32000,344,1,92106,105,95,27,402
No,Salaried,Male,18,25000,226,5,60527,70,85.69639894,89,605
Yes,Self-Employed,Female,22,33000,418,7,146220,176,58.91770979,100,693
No,Student,Male,26,26000,555,5,111110,23,89.44697106821329,62,599
No,Salaried,Male,36,106000,367,3,82874,65,55.571734123524706,100,493
No,Self-Employed,Male,36,43000,332,5,24856,250,69.96293915,92,604
No,Self-Employed,Female,28,16000,376,5,78297,232,92.46952823846391,79,622
No,Self-Employed,Male,65,38000,29,5,52602,297,88.90794474777823,89,602
Yes,Salaried,Female,62,130000,501,10,97287,112,70.02368543,100,850
No,Salaried,Male,36,103000,93,4,105951,36,61.0926375,95,559
Yes,Self-Employed,Male,45,30000,461,8,67620,60,74.68311486075183,90,746
Yes,Self-Employed,Male,53,56000,112,7,67450,78,53.82188323063226,100,703
No,Self-Employed,Female,41,84000,370,5,149263,352,63.74644237548554,96,603
No,Salaried,Female,20,34000,374,0,56851,115,88.17693061540223,45,300
Yes,Salaried,Female,26,54000,302,6,105517,231,93.07271803237299,81,656
No,Self-Employed,Male,38,70000,319,4,88448,95,57.94839559362421,90,556
No,Salaried,Male,40,30000,476,1,24411,62,95,22,374
No,Self-Employed,Male,42,37000,295,4,110707,118,68.48536486,77,539
Yes,Freelancer,Female,24,58000,99,8,150000,203,64.10146018982235,100,791
Yes,Salaried,Female,61,130000,295,9,150000,154,44.98127845461759,93,835
No,Salaried,Male,42,111000,547,6,119716,143,95,77,634
No,Salaried,Female,63,77000,422,2,150000,111,55.12932950161733,66,412
Yes,Freelancer,Female,25,27000,76,6,97030,252,90.70831315972437,86,680
Yes,Self-Employed,Male,47,103000,418,10,150000,235,48.43254849252416,97,850
Yes,Student,Female,56,126000,483,6,147743,341,89.38038775151507,65,662
Yes,Student,Male,29,84000,255,8,150000,253,50.466490637040515,100,745
No,Salaried,Female,55,96000,90,0,150000,31,88.90245339195411,48,343
Yes,Self-Employed,Male,55,128000,192,10,130734,112,40.42156797,95,850
Yes,Self-Employed,Male,58,89000,297,8,150000,155,47.32053352494328,93,746
No,Student,Female,21,17000,474,4,16216,19,63.42894650607168,93,562
Yes,Salaried,Male,53,104000,401,8,150000,288,40,100,746
No,Self-Employed,Male,66,104000,580,3,69465,26,73.55671888771545,61,507
Yes,Self-Employed,Male,39,76000,321,8,81757,120,84.39909674409856,96,783
No,Self-Employed,Male,61,153000,593,4,125438,33,95,68,521
No,Self-Employed,Female,45,75000,235,1,109452,24,66.44485846,51,370
No,Self-Employed,Female,52,43000,176,0,43650,83,89.04643379013592,38,325
Yes,Salaried,Male,56,108000,78,8,101684,238,42.021745721064676,93,776
No,Student,Female,60,85000,409,1,150000,96,62.44113332785422,45,372
No,Salaried,Male,69,196000,145,6,96329,162,73.06465861238908,96,634
Yes,Salaried,Male,34,78000,264,6,88797,207,59.517027257123104,100,659
No,Salaried,Female,36,56000,343,4,150000,37,66.95935544,81,543
